id,province,party 1,votes 1,seats 1,party 2,votes 2,seats 2,party 3,votes 3,seats 3,party 4,votes 4,seats 4,party 5,votes 5,seats 5,party 6,votes 6,seats 6,party 7,votes 7,seats 7,party 8,votes 8,seats 8,party 9,votes 9,seats 9,party 10,votes 10,seats 10,party 11,votes 11,seats 11,party 12,votes 12,seats 12,party 13,votes 13,seats 13
50,Zaragoza,PSOE,173557,3,PP,99527,1,Cs,115651,1,UP,77555,1,VOX,70663,1,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
33,Asturias,PSOE,207586,3,PP,112180,1,Cs,104688,1,UP,107426,1,VOX,72018,1,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
07,Illes Balears,PSOE,136698,3,PP,87352,1,Cs,90340,1,UP,92477,2,VOX,58567,1,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
35,Las Palmas,PSOE,154342,3,PP,88313,2,Cs,84015,1,UP,91216,2,VOX,38229,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,34853,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
38,Santa Cruz de Tenerife,PSOE,141132,2,PP,76491,1,Cs,71667,1,UP,75695,1,VOX,31385,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,102811,2,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
39,Cantabria,PSOE,90534,2,PP,77902,1,Cs,54361,1,UP,36784,0,VOX,40139,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,52266,1
02,Albacete,PSOE,75005,2,PP,51817,1,Cs,43835,1,UP,24855,0,VOX,33948,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
13,Ciudad Real,PSOE,100720,2,PP,69559,1,Cs,50733,1,UP,26952,0,VOX,40313,1,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
16,Cuenca,PSOE,42654,2,PP,31997,1,Cs,16467,0,UP,9482,0,VOX,16755,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
19,Guadalajara,PSOE,42521,1,PP,28618,1,Cs,26817,1,UP,17524,0,VOX,23501,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
45,Toledo,PSOE,123561,2,PP,87134,2,Cs,69678,1,UP,41934,0,VOX,66927,1,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
05,Ávila,PSOE,26503,1,PP,32001,1,Cs,19102,1,UP,7730,0,VOX,14623,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
09,Burgos,PSOE,64287,2,PP,53926,1,Cs,43533,1,UP,27436,0,VOX,24382,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
24,León,PSOE,95536,2,PP,68530,1,Cs,50945,1,UP,35103,0,VOX,33653,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
34,Palencia,PSOE,33209,1,PP,31332,1,Cs,16843,1,UP,9787,0,VOX,12407,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
37,Salamanca,PSOE,59331,1,PP,60154,2,Cs,43580,1,UP,16575,0,VOX,26631,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
40,Segovia,PSOE,26088,1,PP,24853,1,Cs,18460,1,UP,8931,0,VOX,11468,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
42,Soria,PSOE,16513,1,PP,13887,1,Cs,8501,0,UP,4481,0,VOX,4866,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
47,Valladolid,PSOE,97244,2,PP,78433,1,Cs,67775,1,UP,39305,0,VOX,45965,1,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
49,Zamora,PSOE,34628,1,PP,32750,1,Cs,18729,1,UP,9187,0,VOX,12887,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
08,Barcelona,PSOE,769548,9,PP,155935,1,Cs,373820,4,UP,509016,6,VOX,112019,1,ERC,716714,8,Junts,316904,3,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
17,Girona,PSOE,65422,1,PP,12377,0,Cs,34009,0,UP,36947,0,VOX,10715,0,ERC,114031,3,Junts,85863,2,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
25,Lleida,PSOE,37637,1,PP,11153,0,Cs,19150,0,UP,18723,0,VOX,6005,0,ERC,75760,2,Junts,46781,1,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
43,Tarragona,PSOE,89650,1,PP,21376,0,Cs,52395,1,UP,50979,1,VOX,20105,0,ERC,113887,2,Junts,51239,1,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
06,Badajoz,PSOE,157164,3,PP,83278,1,Cs,75583,1,UP,38252,0,VOX,44890,1,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
10,Cáceres,PSOE,93016,2,PP,57195,1,Cs,42452,1,UP,24292,0,VOX,25903,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
15,A Coruña,PSOE,212665,3,PP,172799,3,Cs,81677,1,UP,100019,1,VOX,38187,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
27,Lugo,PSOE,66441,2,PP,67191,2,Cs,17812,0,UP,20282,0,VOX,11450,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
32,Ourense,PSOE,63304,2,PP,67020,2,Cs,20689,0,UP,17213,0,VOX,9984,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
36,Pontevedra,PSOE,185785,3,PP,144290,2,Cs,63867,1,UP,100547,1,VOX,27426,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
28,Madrid,PSOE,1031534,11,PP,705119,7,Cs,792203,8,UP,613911,6,VOX,524176,5,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
31,Navarra,PSOE,94551,2,PP,0,0,Cs,0,0,UP,68393,1,VOX,17771,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,46765,0,CCa-PNC,0,0,NA+,107619,2,MÉS COMPROMÍS,0,0,PRC,0,0
01,Araba / Álava,PSOE,39722,1,PP,24385,0,Cs,7082,0,UP,31469,1,VOX,5608,0,ERC,0,0,Junts,0,0,EAJ-PNV,40300,1,EH Bildu,24747,1,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
20,Gipuzkoa,PSOE,77720,1,PP,20797,0,Cs,11892,0,UP,71296,1,VOX,6783,0,ERC,0,0,Junts,0,0,EAJ-PNV,119668,2,EH Bildu,96364,2,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
48,Bizkaia,PSOE,136547,2,PP,49859,0,Cs,21392,0,UP,121740,2,VOX,15839,0,ERC,0,0,Junts,0,0,EAJ-PNV,235916,3,EH Bildu,91771,1,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
30,Murcia,PSOE,190540,3,PP,180163,2,Cs,150289,2,UP,80053,1,VOX,143234,2,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
26,La Rioja,PSOE,57307,2,PP,47947,1,Cs,32181,1,UP,21331,0,VOX,16255,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
03,Alicante / Alacant,PSOE,259404,4,PP,179056,3,Cs,177691,2,UP,127615,2,VOX,115249,1,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,31030,0,PRC,0,0
12,Castellón / Castelló,PSOE,92379,2,PP,63756,1,Cs,51017,1,UP,43656,1,VOX,37551,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,16713,0,PRC,0,0
46,Valencia / València,PSOE,394703,4,PP,255868,3,Cs,254360,3,UP,211527,2,VOX,170070,2,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,126078,1,PRC,0,0
51,Ceuta,PSOE,13800,1,PP,8147,0,Cs,4546,0,UP,1838,0,VOX,9092,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
52,Melilla,PSOE,6989,0,PP,8087,1,Cs,4351,0,UP,1292,0,VOX,5807,0,ERC,0,0,Junts,0,0,EAJ-PNV,0,0,EH Bildu,0,0,CCa-PNC,0,0,NA+,0,0,MÉS COMPROMÍS,0,0,PRC,0,0
